student_id,course_id,assessment,score
SV002,DBI202,Lab_1,6.3
SV002,DBI202,Quiz_1,7.1
SV002,DBI202,Lab_2,6.8
SV002,DBI202,Quiz_2,6.3
SV002,DBI202,ASM_1,6.9
SV002,DBI202,Lab_3,6.6
SV002,DBI202,Quiz_3,7.1
SV002,DBI202,Lab_4,6.2
SV002,DBI202,Quiz_4,6.4
SV002,DBI202,ASM_2,6.4
SV002,DBI202,Final,5.9
SV002,SWE201,Lab_1,7.3
SV002,SWE201,Quiz_1,7.2
SV002,SWE201,Lab_2,7.0
SV002,SWE201,Quiz_2,6.4
SV002,SWE201,ASM_1,6.9
SV002,SWE201,Lab_3,7.0
SV002,SWE201,Quiz_3,6.7
SV002,SWE201,Lab_4,7.1
SV002,SWE201,Quiz_4,7.4
SV002,SWE201,ASM_2,8.1
SV002,SWE201,Final,7.2
SV002,SWT301,Lab_1,7.1
SV002,SWT301,Quiz_1,6.2
SV002,SWT301,Lab_2,7.1
SV002,SWT301,Quiz_2,7.2
SV002,SWT301,ASM_1,8.4
SV002,SWT301,Lab_3,7.0
SV002,SWT301,Quiz_3,7.3
SV002,SWT301,Lab_4,7.1
SV002,SWT301,Quiz_4,6.5
SV002,SWT301,ASM_2,7.7
SV002,SWT301,Final,7.5
SV002,PRM392,Lab_1,6.9
SV002,PRM392,Quiz_1,8.1
SV002,PRM392,Lab_2,6.7
SV002,PRM392,Quiz_2,7.7
SV002,PRM392,ASM_1,8.5
SV002,PRM392,Lab_3,6.9
SV002,PRM392,Quiz_3,7.1
SV002,PRM392,Lab_4,7.4
SV002,PRM392,Quiz_4,7.1
SV002,PRM392,ASM_2,6.6
SV002,PRM392,Final,7.4
SV002,ITE302,Lab_1,6.7
SV002,ITE302,Quiz_1,6.0
SV002,ITE302,Lab_2,7.2
SV002,ITE302,Quiz_2,6.1
SV002,ITE302,ASM_1,6.3
SV002,ITE302,Lab_3,6.9
SV002,ITE302,Quiz_3,5.9
SV002,ITE302,Lab_4,6.6
SV002,ITE302,Quiz_4,7.1
SV002,ITE302,ASM_2,5.7
SV002,ITE302,Final,6.6
SV003,PRJ301,Lab_1,7.5
SV003,PRJ301,Quiz_1,6.5
SV003,PRJ301,Lab_2,6.5
SV003,PRJ301,Quiz_2,7.4
SV003,PRJ301,ASM_1,7.3
SV003,PRJ301,Lab_3,7.3
SV003,PRJ301,Quiz_3,7.3
SV003,PRJ301,Lab_4,6.8
SV003,PRJ301,Quiz_4,7.2
SV003,PRJ301,ASM_2,7.3
SV003,PRJ301,Final,6.8
SV003,DBI202,Lab_1,8.2
SV003,DBI202,Quiz_1,7.3
SV003,DBI202,Lab_2,8.3
SV003,DBI202,Quiz_2,7.4
SV003,DBI202,ASM_1,8.3
SV003,DBI202,Lab_3,8.5
SV003,DBI202,Quiz_3,7.5
SV003,DBI202,Lab_4,8.4
SV003,DBI202,Quiz_4,8.1
SV003,DBI202,ASM_2,8.3
SV003,DBI202,Final,8.9
SV003,SWE201,Lab_1,6.5
SV003,SWE201,Quiz_1,6.4
SV003,SWE201,Lab_2,6.5
SV003,SWE201,Quiz_2,6.8
SV003,SWE201,ASM_1,7.0
SV003,SWE201,Lab_3,7.0
SV003,SWE201,Quiz_3,7.3
SV003,SWE201,Lab_4,6.9
SV003,SWE201,Quiz_4,7.6
SV003,SWE201,ASM_2,6.7
SV003,SWE201,Final,8.2
SV003,SWT301,Lab_1,6.9
SV003,SWT301,Quiz_1,6.8
SV003,SWT301,Lab_2,7.6
SV003,SWT301,Quiz_2,7.2
SV003,SWT301,ASM_1,7.7
SV003,SWT301,Lab_3,7.5
SV003,SWT301,Quiz_3,7.3
SV003,SWT301,Lab_4,6.9
SV003,SWT301,Quiz_4,6.6
SV003,SWT301,ASM_2,7.1
SV003,SWT301,Final,7.7
SV003,PRM392,Lab_1,6.5
SV003,PRM392,Quiz_1,7.2
SV003,PRM392,Lab_2,7.3
SV003,PRM392,Quiz_2,6.7
SV003,PRM392,ASM_1,7.2
SV003,PRM392,Lab_3,7.1
SV003,PRM392,Quiz_3,6.5
SV003,PRM392,Lab_4,7.3
SV003,PRM392,Quiz_4,7.4
SV003,PRM392,ASM_2,7.6
SV003,PRM392,Final,7.6
SV003,ITE302,Lab_1,5.8
SV003,ITE302,Quiz_1,6.6
SV003,ITE302,Lab_2,6.6
SV003,ITE302,Quiz_2,6.6
SV003,ITE302,ASM_1,8.2
SV003,ITE302,Lab_3,6.6
SV003,ITE302,Quiz_3,6.9
SV003,ITE302,Lab_4,6.8
SV003,ITE302,Quiz_4,6.6
SV003,ITE302,ASM_2,6.2
SV003,ITE302,Final,6.7
SV004,PRJ301,Lab_1,6.5
SV004,PRJ301,Quiz_1,6.4
SV004,PRJ301,Lab_2,6.7
SV004,PRJ301,Quiz_2,7.8
SV004,PRJ301,ASM_1,5.7
SV004,PRJ301,Lab_3,7.0
SV004,PRJ301,Quiz_3,5.8
SV004,PRJ301,Lab_4,6.4
SV004,PRJ301,Quiz_4,7.2
SV004,PRJ301,ASM_2,6.6
SV004,PRJ301,Final,6.1
SV004,DBI202,Lab_1,7.0
SV004,DBI202,Quiz_1,6.3
SV004,DBI202,Lab_2,6.8
SV004,DBI202,Quiz_2,6.7
SV004,DBI202,ASM_1,6.3
SV004,DBI202,Lab_3,7.7
SV004,DBI202,Quiz_3,7.0
SV004,DBI202,Lab_4,5.6
SV004,DBI202,Quiz_4,6.7
SV004,DBI202,ASM_2,6.3
SV004,DBI202,Final,7.1
SV004,SWE201,Lab_1,6.5
SV004,SWE201,Quiz_1,6.9
SV004,SWE201,Lab_2,7.0
SV004,SWE201,Quiz_2,6.0
SV004,SWE201,ASM_1,6.4
SV004,SWE201,Lab_3,6.4
SV004,SWE201,Quiz_3,6.3
SV004,SWE201,Lab_4,7.5
SV004,SWE201,Quiz_4,6.8
SV004,SWE201,ASM_2,6.0
SV004,SWE201,Final,7.1
SV004,SWT301,Lab_1,8.6
SV004,SWT301,Quiz_1,7.3
SV004,SWT301,Lab_2,7.8
SV004,SWT301,Quiz_2,8.7
SV004,SWT301,ASM_1,7.7
SV004,SWT301,Lab_3,8.3
SV004,SWT301,Quiz_3,8.4
SV004,SWT301,Lab_4,7.6
SV004,SWT301,Quiz_4,8.0
SV004,SWT301,ASM_2,6.4
SV004,SWT301,Final,7.5
SV004,PRM392,Lab_1,6.2
SV004,PRM392,Quiz_1,7.7
SV004,PRM392,Lab_2,6.2
SV004,PRM392,Quiz_2,6.7
SV004,PRM392,ASM_1,6.9
SV004,PRM392,Lab_3,7.6
SV004,PRM392,Quiz_3,6.2
SV004,PRM392,Lab_4,7.5
SV004,PRM392,Quiz_4,6.9
SV004,PRM392,ASM_2,6.4
SV004,PRM392,Final,7.1
SV004,ITE302,Lab_1,6.8
SV004,ITE302,Quiz_1,7.1
SV004,ITE302,Lab_2,6.9
SV004,ITE302,Quiz_2,7.2
SV004,ITE302,ASM_1,7.4
SV004,ITE302,Lab_3,7.9
SV004,ITE302,Quiz_3,6.5
SV004,ITE302,Lab_4,8.2
SV004,ITE302,Quiz_4,6.1
SV004,ITE302,ASM_2,7.0
SV004,ITE302,Final,7.4
SV005,PRJ301,Lab_1,6.8
SV005,PRJ301,Quiz_1,7.0
SV005,PRJ301,Lab_2,6.9
SV005,PRJ301,Quiz_2,6.8
SV005,PRJ301,ASM_1,7.6
SV005,PRJ301,Lab_3,7.3
SV005,PRJ301,Quiz_3,6.8
SV005,PRJ301,Lab_4,7.6
SV005,PRJ301,Quiz_4,7.3
SV005,PRJ301,ASM_2,7.5
SV005,PRJ301,Final,7.5
SV005,DBI202,Lab_1,6.3
SV005,DBI202,Quiz_1,7.0
SV005,DBI202,Lab_2,6.9
SV005,DBI202,Quiz_2,6.6
SV005,DBI202,ASM_1,6.6
SV005,DBI202,Lab_3,7.2
SV005,DBI202,Quiz_3,6.3
SV005,DBI202,Lab_4,6.9
SV005,DBI202,Quiz_4,6.5
SV005,DBI202,ASM_2,6.5
SV005,DBI202,Final,7.1
SV005,SWE201,Lab_1,7.8
SV005,SWE201,Quiz_1,8.1
SV005,SWE201,Lab_2,7.4
SV005,SWE201,Quiz_2,7.8
SV005,SWE201,ASM_1,7.3
SV005,SWE201,Lab_3,7.6
SV005,SWE201,Quiz_3,7.3
SV005,SWE201,Lab_4,7.5
SV005,SWE201,Quiz_4,7.7
SV005,SWE201,ASM_2,7.0
SV005,SWE201,Final,8.5
SV005,SWT301,Lab_1,5.9
SV005,SWT301,Quiz_1,7.1
SV005,SWT301,Lab_2,6.9
SV005,SWT301,Quiz_2,6.8
SV005,SWT301,ASM_1,6.8
SV005,SWT301,Lab_3,6.5
SV005,SWT301,Quiz_3,6.0
SV005,SWT301,Lab_4,6.5
SV005,SWT301,Quiz_4,6.2
SV005,SWT301,ASM_2,7.0
SV005,SWT301,Final,6.4
SV005,PRM392,Lab_1,6.4
SV005,PRM392,Quiz_1,6.8
SV005,PRM392,Lab_2,6.3
SV005,PRM392,Quiz_2,6.2
SV005,PRM392,ASM_1,6.7
SV005,PRM392,Lab_3,6.7
SV005,PRM392,Quiz_3,6.3
SV005,PRM392,Lab_4,6.4
SV005,PRM392,Quiz_4,6.7
SV005,PRM392,ASM_2,5.9
SV005,PRM392,Final,5.9
SV005,ITE302,Lab_1,6.5
SV005,ITE302,Quiz_1,6.8
SV005,ITE302,Lab_2,7.4
SV005,ITE302,Quiz_2,7.1
SV005,ITE302,ASM_1,6.6
SV005,ITE302,Lab_3,6.6
SV005,ITE302,Quiz_3,6.1
SV005,ITE302,Lab_4,6.6
SV005,ITE302,Quiz_4,6.5
SV005,ITE302,ASM_2,6.8
SV005,ITE302,Final,6.2
SV006,PRJ301,Lab_1,8.0
SV006,PRJ301,Quiz_1,7.2
SV006,PRJ301,Lab_2,7.5
SV006,PRJ301,Quiz_2,7.6
SV006,PRJ301,ASM_1,7.1
SV006,PRJ301,Lab_3,7.4
SV006,PRJ301,Quiz_3,7.3
SV006,PRJ301,Lab_4,7.3
SV006,PRJ301,Quiz_4,6.9
SV006,PRJ301,ASM_2,7.3
SV006,PRJ301,Final,7.5
SV006,DBI202,Lab_1,8.2
SV006,DBI202,Quiz_1,8.8
SV006,DBI202,Lab_2,7.3
SV006,DBI202,Quiz_2,8.2
SV006,DBI202,ASM_1,7.8
SV006,DBI202,Lab_3,8.8
SV006,DBI202,Quiz_3,7.3
SV006,DBI202,Lab_4,7.3
SV006,DBI202,Quiz_4,7.4
SV006,DBI202,ASM_2,6.7
SV006,DBI202,Final,7.5
SV006,SWE201,Lab_1,6.7
SV006,SWE201,Quiz_1,6.8
SV006,SWE201,Lab_2,7.6
SV006,SWE201,Quiz_2,7.1
SV006,SWE201,ASM_1,6.3
SV006,SWE201,Lab_3,6.2
SV006,SWE201,Quiz_3,6.9
SV006,SWE201,Lab_4,6.0
SV006,SWE201,Quiz_4,7.5
SV006,SWE201,ASM_2,7.2
SV006,SWE201,Final,6.4
SV006,SWT301,Lab_1,6.8
SV006,SWT301,Quiz_1,6.1
SV006,SWT301,Lab_2,6.8
SV006,SWT301,Quiz_2,5.3
SV006,SWT301,ASM_1,5.8
SV006,SWT301,Lab_3,6.1
SV006,SWT301,Quiz_3,6.2
SV006,SWT301,Lab_4,5.9
SV006,SWT301,Quiz_4,6.5
SV006,SWT301,ASM_2,5.6
SV006,SWT301,Final,6.1
SV006,PRM392,Lab_1,7.3
SV006,PRM392,Quiz_1,7.4
SV006,PRM392,Lab_2,6.5
SV006,PRM392,Quiz_2,6.3
SV006,PRM392,ASM_1,7.7
SV006,PRM392,Lab_3,7.2
SV006,PRM392,Quiz_3,6.7
SV006,PRM392,Lab_4,7.8
SV006,PRM392,Quiz_4,7.1
SV006,PRM392,ASM_2,7.6
SV006,PRM392,Final,7.1
SV006,ITE302,Lab_1,8.9
SV006,ITE302,Quiz_1,7.9
SV006,ITE302,Lab_2,8.5
SV006,ITE302,Quiz_2,8.4
SV006,ITE302,ASM_1,8.7
SV006,ITE302,Lab_3,7.5
SV006,ITE302,Quiz_3,8.4
SV006,ITE302,Lab_4,8.6
SV006,ITE302,Quiz_4,7.2
SV006,ITE302,ASM_2,7.4
SV006,ITE302,Final,7.0
SV007,PRJ301,Lab_1,7.2
SV007,PRJ301,Quiz_1,7.6
SV007,PRJ301,Lab_2,6.9
SV007,PRJ301,Quiz_2,7.7
SV007,PRJ301,ASM_1,6.2
SV007,PRJ301,Lab_3,6.0
SV007,PRJ301,Quiz_3,6.8
SV007,PRJ301,Lab_4,7.1
SV007,PRJ301,Quiz_4,6.8
SV007,PRJ301,ASM_2,5.8
SV007,PRJ301,Final,6.8
SV007,DBI202,Lab_1,6.7
SV007,DBI202,Quiz_1,6.5
SV007,DBI202,Lab_2,5.9
SV007,DBI202,Quiz_2,6.1
SV007,DBI202,ASM_1,5.8
SV007,DBI202,Lab_3,6.3
SV007,DBI202,Quiz_3,6.8
SV007,DBI202,Lab_4,5.9
SV007,DBI202,Quiz_4,6.6
SV007,DBI202,ASM_2,6.1
SV007,DBI202,Final,6.0
SV007,SWE201,Lab_1,6.4
SV007,SWE201,Quiz_1,6.7
SV007,SWE201,Lab_2,6.3
SV007,SWE201,Quiz_2,7.9
SV007,SWE201,ASM_1,7.0
SV007,SWE201,Lab_3,6.6
SV007,SWE201,Quiz_3,7.1
SV007,SWE201,Lab_4,6.9
SV007,SWE201,Quiz_4,6.8
SV007,SWE201,ASM_2,7.3
SV007,SWE201,Final,7.3
SV007,SWT301,Lab_1,6.4
SV007,SWT301,Quiz_1,6.6
SV007,SWT301,Lab_2,5.6
SV007,SWT301,Quiz_2,6.0
SV007,SWT301,ASM_1,7.4
SV007,SWT301,Lab_3,7.6
SV007,SWT301,Quiz_3,6.6
SV007,SWT301,Lab_4,7.0
SV007,SWT301,Quiz_4,6.9
SV007,SWT301,ASM_2,8.3
SV007,SWT301,Final,7.3
SV007,PRM392,Lab_1,6.5
SV007,PRM392,Quiz_1,6.1
SV007,PRM392,Lab_2,7.0
SV007,PRM392,Quiz_2,6.6
SV007,PRM392,ASM_1,6.2
SV007,PRM392,Lab_3,6.6
SV007,PRM392,Quiz_3,6.4
SV007,PRM392,Lab_4,7.8
SV007,PRM392,Quiz_4,7.4
SV007,PRM392,ASM_2,6.9
SV007,PRM392,Final,7.7
SV007,ITE302,Lab_1,6.6
SV007,ITE302,Quiz_1,7.8
SV007,ITE302,Lab_2,7.3
SV007,ITE302,Quiz_2,6.5
SV007,ITE302,ASM_1,6.9
SV007,ITE302,Lab_3,6.6
SV007,ITE302,Quiz_3,6.3
SV007,ITE302,Lab_4,7.5
SV007,ITE302,Quiz_4,8.0
SV007,ITE302,ASM_2,6.3
SV007,ITE302,Final,7.3
SV008,PRJ301,Lab_1,6.4
SV008,PRJ301,Quiz_1,6.4
SV008,PRJ301,Lab_2,6.2
SV008,PRJ301,Quiz_2,6.7
SV008,PRJ301,ASM_1,6.3
SV008,PRJ301,Lab_3,6.8
SV008,PRJ301,Quiz_3,6.6
SV008,PRJ301,Lab_4,6.6
SV008,PRJ301,Quiz_4,6.2
SV008,PRJ301,ASM_2,6.4
SV008,PRJ301,Final,7.1
SV008,DBI202,Lab_1,6.8
SV008,DBI202,Quiz_1,7.3
SV008,DBI202,Lab_2,7.6
SV008,DBI202,Quiz_2,6.4
SV008,DBI202,ASM_1,7.5
SV008,DBI202,Lab_3,6.9
SV008,DBI202,Quiz_3,7.5
SV008,DBI202,Lab_4,6.9
SV008,DBI202,Quiz_4,6.3
SV008,DBI202,ASM_2,6.4
SV008,DBI202,Final,7.3
SV008,SWE201,Lab_1,6.7
SV008,SWE201,Quiz_1,7.4
SV008,SWE201,Lab_2,6.3
SV008,SWE201,Quiz_2,7.1
SV008,SWE201,ASM_1,6.5
SV008,SWE201,Lab_3,6.8
SV008,SWE201,Quiz_3,7.2
SV008,SWE201,Lab_4,6.7
SV008,SWE201,Quiz_4,6.9
SV008,SWE201,ASM_2,7.6
SV008,SWE201,Final,6.8
SV008,SWT301,Lab_1,6.9
SV008,SWT301,Quiz_1,7.7
SV008,SWT301,Lab_2,8.1
SV008,SWT301,Quiz_2,6.2
SV008,SWT301,ASM_1,7.0
SV008,SWT301,Lab_3,7.7
SV008,SWT301,Quiz_3,7.3
SV008,SWT301,Lab_4,7.6
SV008,SWT301,Quiz_4,7.1
SV008,SWT301,ASM_2,7.5
SV008,SWT301,Final,7.3
SV008,PRM392,Lab_1,7.7
SV008,PRM392,Quiz_1,7.8
SV008,PRM392,Lab_2,7.4
SV008,PRM392,Quiz_2,7.3
SV008,PRM392,ASM_1,7.4
SV008,PRM392,Lab_3,7.8
SV008,PRM392,Quiz_3,7.4
SV008,PRM392,Lab_4,7.7
SV008,PRM392,Quiz_4,8.6
SV008,PRM392,ASM_2,8.0
SV008,PRM392,Final,7.4
SV008,ITE302,Lab_1,7.4
SV008,ITE302,Quiz_1,6.6
SV008,ITE302,Lab_2,7.1
SV008,ITE302,Quiz_2,6.7
SV008,ITE302,ASM_1,7.4
SV008,ITE302,Lab_3,7.6
SV008,ITE302,Quiz_3,8.4
SV008,ITE302,Lab_4,7.8
SV008,ITE302,Quiz_4,7.5
SV008,ITE302,ASM_2,8.0
SV008,ITE302,Final,6.5
SV009,PRJ301,Lab_1,7.5
SV009,PRJ301,Quiz_1,6.4
SV009,PRJ301,Lab_2,7.7
SV009,PRJ301,Quiz_2,7.3
SV009,PRJ301,ASM_1,6.9
SV009,PRJ301,Lab_3,7.4
SV009,PRJ301,Quiz_3,8.3
SV009,PRJ301,Lab_4,7.2
SV009,PRJ301,Quiz_4,7.2
SV009,PRJ301,ASM_2,6.9
SV009,PRJ301,Final,6.7
SV009,DBI202,Lab_1,7.0
SV009,DBI202,Quiz_1,7.5
SV009,DBI202,Lab_2,7.2
SV009,DBI202,Quiz_2,7.7
SV009,DBI202,ASM_1,7.6
SV009,DBI202,Lab_3,7.9
SV009,DBI202,Quiz_3,7.2
SV009,DBI202,Lab_4,7.3
SV009,DBI202,Quiz_4,6.9
SV009,DBI202,ASM_2,7.2
SV009,DBI202,Final,7.6
SV009,SWE201,Lab_1,6.9
SV009,SWE201,Quiz_1,7.8
SV009,SWE201,Lab_2,8.1
SV009,SWE201,Quiz_2,7.6
SV009,SWE201,ASM_1,8.3
SV009,SWE201,Lab_3,7.0
SV009,SWE201,Quiz_3,6.8
SV009,SWE201,Lab_4,6.5
SV009,SWE201,Quiz_4,8.1
SV009,SWE201,ASM_2,7.7
SV009,SWE201,Final,7.4
SV009,SWT301,Lab_1,6.6
SV009,SWT301,Quiz_1,8.4
SV009,SWT301,Lab_2,7.2
SV009,SWT301,Quiz_2,7.2
SV009,SWT301,ASM_1,7.5
SV009,SWT301,Lab_3,7.4
SV009,SWT301,Quiz_3,7.3
SV009,SWT301,Lab_4,6.7
SV009,SWT301,Quiz_4,7.4
SV009,SWT301,ASM_2,8.1
SV009,SWT301,Final,7.8
SV009,PRM392,Lab_1,7.5
SV009,PRM392,Quiz_1,7.3
SV009,PRM392,Lab_2,7.7
SV009,PRM392,Quiz_2,7.8
SV009,PRM392,ASM_1,8.3
SV009,PRM392,Lab_3,7.0
SV009,PRM392,Quiz_3,8.6
SV009,PRM392,Lab_4,7.7
SV009,PRM392,Quiz_4,7.6
SV009,PRM392,ASM_2,7.3
SV009,PRM392,Final,7.0
SV009,ITE302,Lab_1,7.4
SV009,ITE302,Quiz_1,6.8
SV009,ITE302,Lab_2,6.8
SV009,ITE302,Quiz_2,7.2
SV009,ITE302,ASM_1,8.2
SV009,ITE302,Lab_3,7.3
SV009,ITE302,Quiz_3,6.7
SV009,ITE302,Lab_4,7.3
SV009,ITE302,Quiz_4,7.3
SV009,ITE302,ASM_2,6.1
SV009,ITE302,Final,7.4
SV010,PRJ301,Lab_1,7.2
SV010,PRJ301,Quiz_1,7.8
SV010,PRJ301,Lab_2,7.4
SV010,PRJ301,Quiz_2,6.8
SV010,PRJ301,ASM_1,6.3
SV010,PRJ301,Lab_3,8.2
SV010,PRJ301,Quiz_3,6.9
SV010,PRJ301,Lab_4,6.9
SV010,PRJ301,Quiz_4,6.9
SV010,PRJ301,ASM_2,7.0
SV010,PRJ301,Final,6.8
SV010,DBI202,Lab_1,6.4
SV010,DBI202,Quiz_1,6.7
SV010,DBI202,Lab_2,6.4
SV010,DBI202,Quiz_2,6.4
SV010,DBI202,ASM_1,6.8
SV010,DBI202,Lab_3,6.6
SV010,DBI202,Quiz_3,7.5
SV010,DBI202,Lab_4,5.4
SV010,DBI202,Quiz_4,7.3
SV010,DBI202,ASM_2,7.3
SV010,DBI202,Final,5.7
SV010,SWE201,Lab_1,6.6
SV010,SWE201,Quiz_1,6.1
SV010,SWE201,Lab_2,6.4
SV010,SWE201,Quiz_2,6.3
SV010,SWE201,ASM_1,7.7
SV010,SWE201,Lab_3,7.3
SV010,SWE201,Quiz_3,7.5
SV010,SWE201,Lab_4,7.2
SV010,SWE201,Quiz_4,6.3
SV010,SWE201,ASM_2,6.6
SV010,SWE201,Final,7.1
SV010,SWT301,Lab_1,6.7
SV010,SWT301,Quiz_1,6.3
SV010,SWT301,Lab_2,6.2
SV010,SWT301,Quiz_2,6.7
SV010,SWT301,ASM_1,6.6
SV010,SWT301,Lab_3,6.2
SV010,SWT301,Quiz_3,7.0
SV010,SWT301,Lab_4,5.8
SV010,SWT301,Quiz_4,6.7
SV010,SWT301,ASM_2,6.7
SV010,SWT301,Final,6.2
SV010,PRM392,Lab_1,6.5
SV010,PRM392,Quiz_1,7.6
SV010,PRM392,Lab_2,7.1
SV010,PRM392,Quiz_2,6.9
SV010,PRM392,ASM_1,7.7
SV010,PRM392,Lab_3,6.8
SV010,PRM392,Quiz_3,6.5
SV010,PRM392,Lab_4,6.4
SV010,PRM392,Quiz_4,7.5
SV010,PRM392,ASM_2,6.5
SV010,PRM392,Final,8.0
SV010,ITE302,Lab_1,6.8
SV010,ITE302,Quiz_1,6.1
SV010,ITE302,Lab_2,5.9
SV010,ITE302,Quiz_2,5.7
SV010,ITE302,ASM_1,6.2
SV010,ITE302,Lab_3,5.9
SV010,ITE302,Quiz_3,6.5
SV010,ITE302,Lab_4,6.0
SV010,ITE302,Quiz_4,6.0
SV010,ITE302,ASM_2,5.8
SV010,ITE302,Final,5.9
SV011,PRJ301,Lab_1,6.3
SV011,PRJ301,Quiz_1,6.5
SV011,PRJ301,Lab_2,7.5
SV011,PRJ301,Quiz_2,7.2
SV011,PRJ301,ASM_1,7.1
SV011,PRJ301,Lab_3,7.2
SV011,PRJ301,Quiz_3,7.3
SV011,PRJ301,Lab_4,6.9
SV011,PRJ301,Quiz_4,6.8
SV011,PRJ301,ASM_2,7.3
SV011,PRJ301,Final,6.7
SV011,DBI202,Lab_1,6.4
SV011,DBI202,Quiz_1,7.7
SV011,DBI202,Lab_2,7.4
SV011,DBI202,Quiz_2,7.3
SV011,DBI202,ASM_1,7.7
SV011,DBI202,Lab_3,8.0
SV011,DBI202,Quiz_3,7.7
SV011,DBI202,Lab_4,6.3
SV011,DBI202,Quiz_4,6.6
SV011,DBI202,ASM_2,6.9
SV011,DBI202,Final,7.2
SV011,SWE201,Lab_1,6.9
SV011,SWE201,Quiz_1,7.4
SV011,SWE201,Lab_2,6.9
SV011,SWE201,Quiz_2,7.0
SV011,SWE201,ASM_1,6.6
SV011,SWE201,Lab_3,6.8
SV011,SWE201,Quiz_3,6.6
SV011,SWE201,Lab_4,6.8
SV011,SWE201,Quiz_4,7.8
SV011,SWE201,ASM_2,6.8
SV011,SWE201,Final,8.6
SV011,SWT301,Lab_1,7.3
SV011,SWT301,Quiz_1,6.8
SV011,SWT301,Lab_2,7.6
SV011,SWT301,Quiz_2,7.0
SV011,SWT301,ASM_1,7.3
SV011,SWT301,Lab_3,8.5
SV011,SWT301,Quiz_3,7.2
SV011,SWT301,Lab_4,7.8
SV011,SWT301,Quiz_4,6.9
SV011,SWT301,ASM_2,7.2
SV011,SWT301,Final,8.1
SV011,PRM392,Lab_1,7.6
SV011,PRM392,Quiz_1,7.0
SV011,PRM392,Lab_2,6.4
SV011,PRM392,Quiz_2,7.0
SV011,PRM392,ASM_1,7.2
SV011,PRM392,Lab_3,7.0
SV011,PRM392,Quiz_3,5.9
SV011,PRM392,Lab_4,6.3
SV011,PRM392,Quiz_4,6.6
SV011,PRM392,ASM_2,6.6
SV011,PRM392,Final,7.0
SV011,ITE302,Lab_1,6.4
SV011,ITE302,Quiz_1,7.3
SV011,ITE302,Lab_2,7.4
SV011,ITE302,Quiz_2,7.4
SV011,ITE302,ASM_1,7.6
SV011,ITE302,Lab_3,7.5
SV011,ITE302,Quiz_3,7.3
SV011,ITE302,Lab_4,7.1
SV011,ITE302,Quiz_4,6.3
SV011,ITE302,ASM_2,7.3
